"rings","length","diameter","height","whole_weight","shucked_weight","viscera_weight","shell_weight","sex_M","sex_I","sex_F"
11.0,0.757812417596955,0.676328456758846,0.7288009997109978,0.7213820607801318,0.5164488572128373,0.9935422802187376,0.00839883700142605,1.0,0.0,0.0
13.0,-0.532854922295941,-0.5328630171431862,-0.2275177863701569,-0.7560164393198939,-0.7540334517863747,-0.6850715821585545,-0.7818158936313806,0.0,0.0,1.0
10.0,0.05002710217181863,-0.029033236350672287,0.2506416066704201,0.005623781228566435,-0.03319242540384311,0.058444884057474375,0.0981959654824269,1.0,0.0,0.0
10.0,0.2165648234483215,-0.029033236350672287,0.2506416066704201,-0.31249100968324034,-0.26070787435582965,-0.3110326236940492,-0.20711427135297575,0.0,1.0,0.0
8.0,0.2165648234483215,0.1724986759663327,-0.2275177863701569,-0.33594177952609783,-0.4048760796323359,-0.16050475016565066,-0.20711427135297575,0.0,1.0,0.0
7.0,-0.6993926435724439,-0.7343949294601911,-0.7056771794107342,-0.897740657065859,-0.8306228108395187,-0.8857754135297524,-0.9183075289225016,0.0,1.0,0.0
12.0,-0.15814504942381,-0.029033236350672287,0.011561910150131957,0.09432886715589713,-0.4183918488770083,-0.0601528344800518,0.3316684995330287,1.0,0.0,0.0
12.0,-0.19977947974293567,-0.23056514866767785,-0.5861373311505897,-0.30637341755032105,-0.2922446692600654,-0.3885772858147392,-0.3148708255301766,0.0,0.0,1.0
11.0,0.8827157085543321,0.9786263252343542,0.3701814549305645,0.5633442640130479,0.5975434726808722,0.4142380396700527,0.6190193106722314,1.0,0.0,0.0
8.0,-0.11651061910468427,-0.029033236350672287,0.2506416066704201,-0.25539348310932625,-0.055718707478297234,-0.4250688915185934,-0.361565332340297,1.0,0.0,0.0
14.0,0.8410812782352064,0.7770944129173487,-0.10797793811001244,0.966085746096906,1.1291637296379893,0.7928384488475398,0.8740431555582734,0.0,0.0,1.0
